model	condition	run	output_id	criterion	criterion_type	verdict	ground_truth	match
claude-sonnet	A	1	fm-001	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_pnl_flows_to_bs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-001	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-001	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-001	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-001	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-001	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_balance_sheet	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_cash_flow_reconciles	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_pnl_flows_to_bs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_no_hardcoded	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_growth_from_assumptions	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_unit_economics_consistent	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_three_statements	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_assumptions_page	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_time_granularity	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_full_horizon	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_no_negative_revenue	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_cash_not_negative	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_margins_plausible	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_headcount_math	numeric	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_tax_rate	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_periods_labeled	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_units_specified	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	check_inputs_vs_outputs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-002	rubric_assumption_quality	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-002	rubric_scenario_robustness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-002	rubric_operational_realism	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-002	rubric_cash_flow_awareness	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-002	rubric_decision_utility	semantic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_balance_sheet	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_cash_flow_reconciles	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_pnl_flows_to_bs	syntactic	FAIL	PASS	0
claude-sonnet	A	1	fm-003	check_opening_balances	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_no_hardcoded	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_growth_from_assumptions	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_unit_economics_consistent	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_no_circular_refs	syntactic	PASS	PASS	1
claude-sonnet	A	1	fm-003	check_three_statements	syntactic	FAIL	FAIL	1
claude-sonnet	A	1	fm-003	check_assumptions_page	syntactic	FAIL	FAIL	1
